,PP,st,PB,R,RB,bp,sum_selected_bonds,sum_of_central_basepairs,sum_of_all_basepairs,enm_lambda,qha_lambda
Mode 1,0.00010961163615007567,0.0007009503323802936,4.074306011433854e-05,4.740871256410034e-06,6.138595051328636e-05,0.00016683488279033246,0.0010842667332047367,0.0004866578684999882,0.0005434501951567892,0.00108690039034089,0.00109802881948
Mode 2,0.00014557497052846034,0.0008089308686081037,6.0131732483977834e-05,7.2094252633155365e-06,6.308049875926357e-05,0.00023643074521636294,0.0013213582408594837,0.000592097525815126,0.0006626267172785506,0.0013252534345963977,0.00139434306923
Mode 3,0.000541391992783142,0.0017391707528672873,0.0001528798998688848,2.8592291770817505e-05,0.00014133780665121238,0.000525304059879693,0.0031286768038210374,0.0013020067564835666,0.0015695633329436817,0.0031391266659118633,0.00298373323923
Mode 4,0.0006455236470783523,0.0029767280827722804,0.00023463702741172602,2.744097887863903e-05,0.00028622894919090835,0.000993173272104665,0.005163731957436571,0.0015729966491745424,0.002589115233291456,0.005178230466572596,0.0052256731589
Mode 5,0.002584639649729268,0.003171165426736342,0.0007645102384213593,9.846472236095836e-05,0.0005168267834869023,0.0014037636690430533,0.008539370489777882,0.003224089373246925,0.004289156911838768,0.008578313823672383,0.00788250701914
Mode 6,0.002496178736987954,0.005807904280324348,0.0009967320625373828,0.00010730689888298777,0.0006981561878455001,0.0018315745595510054,0.011937852726129178,0.0032893524074511992,0.00598706066439736,0.011974121328800543,0.0118533645735
Mode 7,0.00467813554074187,0.007040793608736483,0.0023972969075816025,0.00023654351488382864,0.0015072881606086196,0.0025160532126363715,0.018376110945188776,0.004208569096371795,0.009247010027160378,0.01849402005433453,0.0157800154797
Mode 8,0.0060675211586889944,0.008964504430961877,0.002798504004633261,0.0003424155675401808,0.0012850176197889444,0.0028226678269741676,0.022280630608587426,0.005990063918054624,0.01119224714613657,0.02238449429229182,0.0174811217738
