,PP,st,PB,R,RB,bp,sum_selected_bonds,sum_of_central_basepairs,sum_of_all_basepairs,enm_lambda,qha_lambda
Mode 1,0.00020528519415810204,0.0006526810306503768,0.00014307487946256853,3.5799580407505356e-05,0.00014147909956770629,0.0002073900916835453,0.0013857098759298043,0.000678333379114355,0.0006965523637288504,0.0013931047274938274,0.00127103901507
Mode 2,0.0003025323176231596,0.0008452533255431122,0.00019936572414701236,4.63304538357943e-05,0.0001841876686268442,0.00023665809592061623,0.0018143275856965387,0.0008416883009450312,0.0009124766784639471,0.0018249533569096642,0.00157664687897
Mode 3,0.0005377380919967953,0.0018424356680642661,0.000362713822469291,8.413353219775829e-05,0.0003244106025124823,0.00032436473985615567,0.0034757964570967487,0.0012134274594642644,0.0017458184799356209,0.0034916369598571406,0.00259195192223
Mode 4,0.0012947473907630516,0.001882320333345461,0.0011456213626596721,0.00023927977943762247,0.00037767389645684043,0.0011749053242689849,0.006114548086931633,0.0029337758326018065,0.003134354222892866,0.006268708445697836,0.00386602920881
Mode 5,0.0016128897410758085,0.004672344242281285,0.001106954643243627,0.00029453616365826514,0.0008760781869058768,0.0009501922020303219,0.009512995179195185,0.002403853795030112,0.004782028357006066,0.009564056713994021,0.00533627108362
Mode 6,0.002123171413422912,0.004841796058317015,0.0022780754674254283,0.0004046816805162701,0.0006997534482098427,0.002354104554655197,0.012701582622546666,0.005064618929597799,0.006499211727005171,0.012998423453936052,0.00802278691738
Mode 7,0.0037723271911986656,0.0090034442898732,0.0034813191074548394,0.0007464726944907857,0.0016027301878145273,0.002820972455265135,0.021427265926097155,0.0048195868910632916,0.010837459245268353,0.02167491849053247,0.0123684882307
Mode 8,0.0048413387132475415,0.00952776064106681,0.00481288446429859,0.0009894962823686598,0.0019601958093024958,0.004350168711269035,0.02648184462155313,0.007904111053535529,0.013493104398132956,0.026986208796217312,0.0195070266914
